cedula,nombre,apellido,sexo,fechaNacimiento,telefono,celular,ciudad,direcion,email,cargo
0701886744,Crithina,Pulla,Femenino,2000-10-21,0923817399,0568224056,Durán,Av. Circunvalación y Av. Río Aguarico,wmryzctm@gmail.com,O
0980774675,Juan,Piero Bermudez,Masculino,1980-06-20,0541974789,0816424162,Cuenca,"Ciudadela California, calle Chone, entre Junín y Santa Ana",cgabxd@hotmail.com,O
0832376562,Jonathan,Figueroa Bonilla,Masculino,1992-07-12,0240339401,0332070303,Guayaquil,Av. Circunvalación y Av. Río Aguarico,piwklg@espol.edu.ec,V
0998326405,Jefferson,Morena,Masculino,1986-02-12,0552984146,0051009900,Quito,Centro,ounc@outlook.es,E
0735110382,Josue,Tobar Davalos,Masculino,2000-02-23,0440124387,0858403311,Naranjal,"Turi,sector Collaloma vía Turi-Tarqui",urhbpzz@hotmail.com,O
0988983948,Domenica,Davalos,Femenino,1985-09-02,0704516709,0309569613,Nobol,Centro,sgcrl@hotmail.com,O
0963910626,Juan,Flores Jacho,Masculino,1982-03-01,0676377958,0739106045,Cuenca,Av. Circunvalación y Av. Río Aguarico,iitmpnkk@gmail.com,E
0848429860,Bryan,Vera Pulla,Masculino,1983-06-04,0239022481,0491049598,Ambato,Av. Amazonas N40-71,spvjjfdj@espol.edu.ec,O
0135769529,Crithina,Vera Piero,Femenino,1983-08-06,0173932223,0611024330,Nobol,"Cdla. IETEL, Mz 28 lote 1",imtorgfu@hotmail.com,O
0321619020,Erick,Vera Mera,Masculino,1985-02-25,0804109071,0350384006,Naranjal,Av. 9 de Octubre N27-75 y Berlín,lnky@espol.edu.ec,V
0857986918,Josue,Cedeño,Masculino,1998-12-28,0540395103,0897934176,Durán,"Cdla. IETEL, Mz 28 lote 1",jtgdb@gmail.com,E
0421999612,Xavier,Morena,Masculino,1986-10-22,0062209343,0860211630,Quito,Av. 9 de Octubre N27-75 y Berlín,fbnnfe@hotmail.com,O
0787188184,Xavier,Vera Tobar,Masculino,1994-08-11,0009105526,0891701404,Ambato,Av. Diego de Almagro N31-95,rqrfzvm@hotmail.es,E
0825435629,Paulette,Bermudez Sanzhez,Femenino,1998-11-26,0060052707,0687594839,Cuenca,Av. Circunvalación y Av. Río Aguarico,nzmufhs@hotmail.com,V
0264659796,Renato,Figueroa,Masculino,1992-01-02,0264128277,0400024094,Quito,Av. 9 de Octubre N 27-75 y Berlín,veppahk@hotmail.es,O
0195199444,Juan,Bermudez,Masculino,2001-06-22,0710843193,0952310630,Cuenca,Estación de Comprobación Técnica Vía Chambo Km 2,khzptb@hotmail.com,V
0530949692,Dayana,Bonilla Cordova,Femenino,1985-01-09,0554995233,0128602937,Cuenca,Estación de Comprobación Técnica Vía Chambo Km 2,ayvsy@hotmail.com,V
0038269143,Ana,Carrera,Femenino,1988-02-28,0384463393,0582241761,Durán,Av. Amazonas N40-71,bfyf@hotmail.es,V
0570511137,Ana,Piero,Femenino,1990-08-11,0240985865,0213371175,Naranjal,Av. Diego de Almagro N31-95,pjeatvzs@gmail.com,E
0224127433,Raul,Bermudez Bermudez,Masculino,1988-01-24,0895763433,0329145238,Cuenca,"Ciudadela California, calle Chone, entre Junín y Santa Ana",sjmd@espol.edu.ec,E
0244346288,Erick,Davalos,Masculino,1991-10-04,0414140012,0750802024,Nobol,Av. Diego de Almagro N31-95,vxswv@hotmail.es,E
0083506722,Paulette,Mera,Femenino,1991-05-15,0786707899,0723643766,Quito,Centro,eufcp@outlook.es,E
0584550365,Jonathan,Figueroa Figueroa,Masculino,1986-01-26,0742773593,0205339281,Guayaquil,"Turi,sector Collaloma vía Turi-Tarqui",grohpdoa@espol.edu.ec,E
0469673680,Xiomara,Davalos Jacho,Femenino,1991-06-15,0345953792,0471072757,Guayaquil,Av. 9 de Octubre N 27-75 y Berlín,oqsf@hotmail.com,O
0545060202,Raul,Jacho,Masculino,1989-01-26,0323425958,0724857658,Nobol,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,jwwihhz@gmail.com,O
0920036174,Axel,Carrera,Masculino,1992-01-28,0554950747,0071800435,Nobol,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,bmhptqlr@espol.edu.ec,V
0978366949,Xiomara,Bonilla,Femenino,1981-03-24,0830114606,0763901619,Guayaquil,"Turi,sector Collaloma vía Turi-Tarqui",mlgxd@hotmail.com,O
0976374473,Ana,Davalos,Femenino,1985-01-06,0108046910,0363981575,Guayaquil,Av. 9 de Octubre N 27-75 y Berlín,pvovy@hotmail.com,O
0334579700,Ariel,Mera,Masculino,1997-02-12,0465333258,0732203726,Durán,"Cdla. IETEL, Mz 28 lote 1",uemtjv@hotmail.es,V
0545240356,Bryan,Morena,Masculino,1999-08-09,0261351040,0757066471,Durán,Av. Amazonas N40-71,qadv@hotmail.com,O
0316106274,Crithina,Sanzhez Davalos,Femenino,1997-03-02,0041031528,0912254070,Nobol,"Ciudadela California, calle Chone, entre Junín y Santa Ana",ooeorb@outlook.es,E
0609768110,Bryan,Vazquez Jacho,Masculino,1980-10-07,0143576816,0682665884,Cuenca,Av. 9 de Octubre N27-75 y Berlín,amxzdz@hotmail.es,E
0090077425,Tamara,Vazquez Cordova,Femenino,1989-08-26,0845618998,0449593538,Guayaquil,Centro,jvazdtju@hotmail.es,V
0342235453,Luis,Tobar Sanzhez,Masculino,1988-05-10,0972863331,0385783346,Guayaquil,"Turi,sector Collaloma vía Turi-Tarqui",vogo@hotmail.com,V
0737271516,Jefferson,Piero Bonilla,Masculino,1989-02-07,0298247640,0719047178,Ambato,Av. Diego de Almagro N31-95,vcqfbnc@hotmail.es,O
0399240878,Jefferson,Tobar Cordova,Masculino,1994-03-17,0434789518,0943090702,Guayaquil,Av. Amazonas N40-71,tkbrabkg@espol.edu.ec,O
0074036011,Xiomara,Flores,Femenino,1984-08-09,0871401920,0601384397,Durán,Centro,cqmwkdt@hotmail.com,O
0995419437,Mara,Cedeño Bermudez,Femenino,1998-05-17,0169469725,0174464251,Quito,Centro,tlpm@gmail.com,E
0823675302,Erick,Carrera Figueroa,Masculino,1980-01-23,0287204986,0718423848,Durán,"Turi,sector Collaloma vía Turi-Tarqui",rwzvvd@gmail.com,E
0653358908,Katalina,Sanzhez Figueroa,Femenino,1980-02-19,0638739106,0446615683,Durán,Av. 9 de Octubre N 27-75 y Berlín,lvxzpto@gmail.com,V
0225185062,Paulette,Bonilla,Femenino,1997-09-28,0622349860,0540764442,Durán,Centro,fgoy@espol.edu.ec,V
0436787198,Carlos,Bermudez Vazquez,Masculino,1983-07-08,0227079987,0366749936,Ambato,Centro,indnah@gmail.com,O
0618917073,Juan,Cordova,Masculino,1999-03-26,0153595597,0912831159,Quito,"Ciudadela California, calle Chone, entre Junín y Santa Ana",oitxu@hotmail.com,E
0279158392,Carlos,Cordova,Masculino,1986-08-18,0362599202,0391119045,Guayaquil,Estación de Comprobación Técnica Vía Chambo Km 2,ayzmdqq@gmail.com,O
0253077690,Tamara,Carrera,Femenino,1985-07-05,0694210885,0856569292,Naranjal,Av. 9 de Octubre N 27-75 y Berlín,irvfleo@gmail.com,E
0609876081,Milena,Cordova Sanzhez,Femenino,1989-07-22,0923902978,0592903467,Ambato,"Cdla. IETEL, Mz 28 lote 1",lgtkzpg@outlook.es,E
0904963606,Xiomara,Piero Sanzhez,Femenino,1983-09-21,0271496407,0152569148,Ambato,Centro,mmpknn@hotmail.es,V
0447855693,Raul,Bonilla,Masculino,1987-08-28,0586473871,0395922450,Nobol,Centro,byymdcuw@outlook.es,V
0920761092,Renato,Tobar,Masculino,2001-08-01,0174578161,0447642583,Nobol,"Cdla. IETEL, Mz 28 lote 1",lbhkhi@hotmail.es,V
0466539575,Renato,Tobar,Masculino,1999-08-10,0202678004,0065728570,Naranjal,Centro,lvpinjht@gmail.com,O
0565558109,Paulette,Carrera,Femenino,1993-10-26,0401843303,0815008782,Ambato,Av. 9 de Octubre N 27-75 y Berlín,yeuxioj@hotmail.com,E
0141831456,Ariel,Flores Piero,Masculino,1984-02-18,0811475067,0178079873,Guayaquil,Centro,zvnankl@gmail.com,V
0997824579,Domenica,Bermudez Mera,Femenino,1981-10-10,0123650485,0002397812,Quito,Estación de Comprobación Técnica Vía Chambo Km 2,ttufzjgw@hotmail.com,O
0691308823,Jose,Vazquez Tobar,Masculino,2000-02-17,0969282870,0901588819,Guayaquil,Centro,unlny@espol.edu.ec,O
0161095323,Jefferson,Pulla Cordova,Masculino,1990-11-27,0000352611,0113362391,Durán,Av. 9 de Octubre N 27-75 y Berlín,xayfropi@hotmail.es,V
0220322525,Tamara,Cordova Vera,Femenino,1989-12-05,0400300686,0333991520,Guayaquil,Estación de Comprobación Técnica Vía Chambo Km 2,hvqvl@hotmail.com,V
0465302529,Paulette,Vera Sanzhez,Femenino,2001-08-12,0083949007,0645678978,Guayaquil,Av. Diego de Almagro N31-95,sqmfkh@hotmail.com,E
0005043619,Jonathan,Bonilla,Masculino,1995-09-12,0408333377,0259309778,Naranjal,"Turi,sector Collaloma vía Turi-Tarqui",gujwfhkf@hotmail.es,E
0613785472,Melany,Piero,Femenino,1980-04-22,0058776388,0929714135,Ambato,Av. 9 de Octubre N 27-75 y Berlín,kczxby@gmail.com,E
0321224165,Jonathan,Cordova,Masculino,1991-10-23,0138549225,0257631348,Durán,Av. 9 de Octubre N 27-75 y Berlín,gyekji@espol.edu.ec,V
0801845422,Mariuxi,Carrera,Femenino,1989-09-06,0045730366,0684325422,Nobol,"Cdla. IETEL, Mz 28 lote 1",pxelgri@espol.edu.ec,V
0867936634,Mara,Mera,Femenino,1983-11-26,0980876767,0859221867,Guayaquil,Centro,uoev@outlook.es,O
0138598464,Milena,Cedeño,Femenino,2000-11-21,0292045686,0009687009,Quito,"Cdla. IETEL, Mz 28 lote 1",zlstun@hotmail.es,O
0077171285,Bryan,Mera Mera,Masculino,1989-10-09,0830870953,0053256366,Nobol,"Turi,sector Collaloma vía Turi-Tarqui",zjyzwf@hotmail.com,E
0834465535,Xiomara,Pulla Mera,Femenino,2000-06-28,0436892617,0730051237,Quito,Estación de Comprobación Técnica Vía Chambo Km 2,wkavgv@espol.edu.ec,O
0283016030,Axel,Cedeño,Masculino,1990-03-24,0846416708,0049120406,Nobol,Av. 9 de Octubre N 27-75 y Berlín,xdiq@hotmail.com,O
0348211156,Dayana,Pulla Figueroa,Femenino,1987-09-04,0960745232,0827406939,Quito,Av. 9 de Octubre N27-75 y Berlín,xpah@outlook.es,E
0093193439,Ana,Figueroa Sanzhez,Femenino,1989-02-14,0251826111,0083950585,Ambato,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,axzou@espol.edu.ec,V
0708408762,Jose,Pulla Davalos,Masculino,1982-07-15,0179960686,0111071510,Durán,"Turi,sector Collaloma vía Turi-Tarqui",prhnrk@espol.edu.ec,O
0413630252,Xiomara,Jacho,Femenino,1994-03-26,0612590947,0712685047,Naranjal,"Ciudadela California, calle Chone, entre Junín y Santa Ana",mxynp@outlook.es,V
0321716886,Xiomara,Flores Morena,Femenino,2000-11-07,0840399960,0775489160,Durán,Av. 9 de Octubre N27-75 y Berlín,izyyu@hotmail.com,O
0154753627,Luis,Morena,Masculino,1994-11-19,0600662445,0059701241,Durán,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,onyatwum@hotmail.com,E
0273654564,Xavier,Tobar,Masculino,1981-01-08,0295261411,0664992868,Naranjal,Centro,gaasqwm@outlook.es,E
0857215267,Juan,Figueroa Bermudez,Masculino,1982-04-06,0654736666,0945331845,Nobol,Av. 9 de Octubre N 27-75 y Berlín,rmea@gmail.com,O
0285386432,Ariel,Davalos Carrera,Masculino,1987-04-22,0246578165,0701474830,Cuenca,Av. Circunvalación y Av. Río Aguarico,rkflljdr@hotmail.es,V
0938570775,Raul,Vera,Masculino,1991-12-23,0501469988,0470393630,Guayaquil,Av. Diego de Almagro N31-95,mmmg@hotmail.es,E
0904434524,Juan,Jacho Carrera,Masculino,2001-06-13,0853207872,0426909972,Ambato,"Ciudadela California, calle Chone, entre Junín y Santa Ana",ijuku@gmail.com,E
0556276713,Zoila,Bonilla Piero,Femenino,1995-09-08,0527993858,0457615248,Ambato,Av. Amazonas N40-71,yyytfi@hotmail.com,O
0671555888,Tamara,Flores Davalos,Femenino,1989-07-19,0076479695,0625322404,Cuenca,Av. Amazonas N40-71,upfuik@hotmail.es,O
0919309793,Jose,Cordova,Masculino,1986-09-07,0689673519,0312585799,Cuenca,"Ciudadela California, calle Chone, entre Junín y Santa Ana",fxeijow@hotmail.es,E
0264811272,Jonathan,Morena Sanzhez,Masculino,1986-12-24,0954653973,0479035046,Durán,"Turi,sector Collaloma vía Turi-Tarqui",ktltets@gmail.com,O
0084852991,Domenica,Flores,Femenino,2001-08-06,0967279116,0299687894,Quito,"Cdla. IETEL, Mz 28 lote 1",gyngclyx@hotmail.es,O
0533776845,Ana,Jacho Mera,Femenino,1991-12-19,0027091140,0585146012,Naranjal,Centro,bqqkzjgk@gmail.com,O
