cedula,nombre,apellido,sexo,fechaNacimiento,telefono,celular,ciudad,direccion,email,cargo
0828321618,Jocelyne,Jacho,Femenino,1996-03-11,0405484457,0163254535,Quito,Av. 9 de Octubre N 27-75 y Berlín,eebfnexv@hotmail.com,V
0862031126,Mara,Jacho,Femenino,1988-09-03,0104368442,0102012600,Nobol,Av. Amazonas N40-71,zdztaw@espol.edu.ec,E
0128204049,Xiomara,Pulla Bonilla,Femenino,1999-04-09,0380878390,0555944967,Durán,Av. 9 de Octubre N 27-75 y Berlín,tgwhipge@gmail.com,V
0722354426,Geogy,Tobar Jacho,Masculino,1983-09-14,0529970465,0802594779,Naranjal,Av. Diego de Almagro N31-95,kzyfcv@hotmail.es,E
0956367979,Xavier,Carrera Flores,Masculino,1992-08-11,0953403456,0779919866,Naranjal,Centro,gbhnlhqy@gmail.com,O
0908994445,Tamara,Flores,Femenino,1988-09-17,0809699710,0503504570,Naranjal,"Ciudadela California, calle Chone, entre Junín y Santa Ana",jfhq@hotmail.com,O
0836868922,Melany,Piero Mera,Femenino,1995-02-22,0624301982,0420062366,Nobol,Av. 9 de Octubre N 27-75 y Berlín,ncot@gmail.com,O
0818232673,Jocelyne,Carrera Vazquez,Femenino,1992-11-14,0051264045,0949886176,Durán,Av. 9 de Octubre N 27-75 y Berlín,erzw@hotmail.es,V
0247830530,Renato,Cedeño,Masculino,2000-11-02,0331002342,0547641327,Nobol,"Turi,sector Collaloma vía Turi-Tarqui",swviop@outlook.es,V
0384581624,Bryan,Carrera,Masculino,2000-01-24,0952723021,0068685164,Ambato,Av. 9 de Octubre N27-75 y Berlín,fgwyg@hotmail.com,O
0332676022,Dayana,Bermudez,Femenino,1999-05-07,0344925514,0426808656,Quito,"Ciudadela California, calle Chone, entre Junín y Santa Ana",hvsulet@hotmail.es,O
0350033966,Raul,Piero Vera,Masculino,1997-11-04,0398479145,0099520807,Quito,Estación de Comprobación Técnica Vía Chambo Km 2,ztcj@hotmail.es,O
0912842176,Domenica,Figueroa Bonilla,Femenino,1980-11-06,0231360461,0437283239,Durán,Av. Amazonas N40-71,stenmlb@hotmail.es,V
0802558174,Mariuxi,Bonilla Piero,Femenino,1982-12-28,0676703671,0127028486,Quito,Av. Diego de Almagro N31-95,rzkcm@outlook.es,V
0191979040,Diana,Mera,Femenino,1998-06-04,0048738263,0429947659,Durán,Av. 9 de Octubre N 27-75 y Berlín,fdfzcqr@gmail.com,E
0804555477,Diana,Carrera Bermudez,Femenino,1983-03-18,0697314444,0363531040,Quito,Av. Amazonas N40-71,yziprn@hotmail.es,O
0790077501,Raul,Carrera Bonilla,Masculino,1986-12-18,0549556197,0865537270,Cuenca,Av. Circunvalación y Av. Río Aguarico,ujvusht@outlook.es,V
0705593172,Zoila,Cordova Sanzhez,Femenino,2001-07-27,0058235810,0044611397,Durán,"Turi,sector Collaloma vía Turi-Tarqui",kcrbo@outlook.es,V
0479980045,Jocelyne,Sanzhez,Femenino,1983-09-16,0375058613,0770397423,Durán,"Ciudadela California, calle Chone, entre Junín y Santa Ana",iqzew@outlook.es,E
0937236878,Melany,Jacho Mera,Femenino,1982-10-22,0018182999,0938664362,Cuenca,Centro,jbgt@gmail.com,E
0115777191,Jose,Cedeño Sanzhez,Masculino,1983-08-18,0508432967,0094545351,Durán,Estación de Comprobación Técnica Vía Chambo Km 2,levz@outlook.es,E
0339297020,Mara,Sanzhez Sanzhez,Femenino,1986-10-06,0281031877,0140166882,Ambato,Av. 9 de Octubre N27-75 y Berlín,fkuuykpj@hotmail.com,V
0796097743,Juan,Sanzhez,Masculino,1987-01-20,0906183840,0180348538,Cuenca,"Ciudadela California, calle Chone, entre Junín y Santa Ana",vxpvu@espol.edu.ec,O
0215456171,Tamara,Cedeño,Femenino,1989-06-08,0215412251,0825746496,Durán,Av. Circunvalación y Av. Río Aguarico,ivxmnxp@outlook.es,V
0073682559,Katalina,Bonilla Mera,Femenino,1980-09-06,0303575159,0813195872,Cuenca,"Turi,sector Collaloma vía Turi-Tarqui",ywfojdko@outlook.es,E
0106247101,Diana,Bermudez Sanzhez,Femenino,1987-11-12,0602428837,0804155637,Quito,"Cdla. IETEL, Mz 28 lote 1",krmolzin@gmail.com,E
0190583903,Erick,Cedeño,Masculino,1996-11-27,0412478729,0955370421,Quito,Centro,ylqmbyzx@espol.edu.ec,O
0797245782,Luis,Vera,Masculino,1984-11-16,0069216672,0840004024,Quito,"Turi,sector Collaloma vía Turi-Tarqui",tmoksiql@outlook.es,O
0188963345,Jonathan,Cedeño Vera,Masculino,1999-06-04,0479848799,0507705178,Nobol,Av. Circunvalación y Av. Río Aguarico,cmvw@hotmail.com,V
0014838060,Mara,Bermudez Mera,Femenino,1988-09-06,0497590729,0804161684,Quito,"Ciudadela California, calle Chone, entre Junín y Santa Ana",gtutd@gmail.com,E
0238772882,Renato,Flores,Masculino,1986-08-21,0922932283,0783192679,Nobol,Av. Diego de Almagro N31-95,wsdr@hotmail.com,E
0573920559,Bryan,Morena,Masculino,1986-07-11,0075891499,0698357712,Durán,Av. 9 de Octubre N 27-75 y Berlín,nnwrode@gmail.com,O
0957607575,Crithina,Flores Pulla,Femenino,1983-03-07,0601966320,0120736134,Ambato,Centro,qmdrvb@hotmail.com,E
